epoch_index,stim_sample,next_stim_sample,stim_time_s_x,isi_ms,baseline_median_uv,baseline_noise_uv,baseline_noise_outlier,candidate_found,er_found,er_detection_source,er_significant,stim_time_s_y,er_start_ms,er_peak_ms,er_end_ms,er_core_end_ms,er_rebound_ms,er_full_duration_ms,er_width_ms,er_min_uv,er_max_uv,er_depth_uv,er_p2p_uv,er_core_p2p_uv,er_prominence_uv,er_rebound_change_native,er_rebound_depth_ratio,er_morphology_score,effective_noise_uv,er_depth_noise_ratio,er_p2p_noise_ratio,er_prominence_noise_ratio,amplitude_unit,er_threshold_source,er_significance_reason
0,324743,326743,81.18575,500.0,0.21250000596046448,0.1274109375,False,False,False,no_morphology_candidate,False,,,,,,,,,,,,,,,,,,,,,,,,
1,326743,328743,81.68575,500.0,-0.04625000059604645,0.1274109375,False,False,False,no_morphology_candidate,False,,,,,,,,,,,,,,,,,,,,,,,,
2,328743,330743,82.18575,500.0,-0.03218749910593033,0.11304824712797999,False,False,False,no_morphology_candidate,False,,,,,,,,,,,,,,,,,,,,,,,,
3,330743,332743,82.68575,500.0,0.04281250014901161,0.13482394699975847,False,False,False,no_morphology_candidate,False,,,,,,,,,,,,,,,,,,,,,,,,
4,332743,334743,83.18575,500.0,0.15406249463558197,0.10239205322116612,False,False,False,no_morphology_candidate,False,,,,,,,,,,,,,,,,,,,,,,,,
5,334743,336743,83.68575,500.0,0.24500000476837158,0.06347380719780922,False,False,False,no_morphology_candidate,False,,,,,,,,,,,,,,,,,,,,,,,,
6,336743,338743,84.18575,500.0,0.05562499910593033,0.07088681117445231,False,False,False,no_morphology_candidate,False,,,,,,,,,,,,,,,,,,,,,,,,
7,338743,340743,84.68575,500.0,0.12656250596046448,0.06208385997712612,False,False,False,no_morphology_candidate,False,,,,,,,,,,,,,,,,,,,,,,,,
8,340743,342743,85.18575,500.0,-0.20937499403953552,0.17096233724355697,False,False,False,no_morphology_candidate,False,,,,,,,,,,,,,,,,,,,,,,,,
9,342743,344743,85.68575,500.0,-0.07843749970197678,0.05698743838369846,False,False,False,no_morphology_candidate,False,,,,,,,,,,,,,,,,,,,,,,,,
10,344743,346743,86.18575,500.0,-0.15843750536441803,0.15428307001143693,False,False,False,no_morphology_candidate,False,,,,,,,,,,,,,,,,,,,,,,,,
11,346743,348743,86.68575,500.0,0.02031249925494194,0.09822225022092461,False,False,False,no_morphology_candidate,False,,,,,,,,,,,,,,,,,,,,,,,,
12,348743,350743,87.18575,500.0,-0.08375000208616257,0.11258494059294462,False,True,False,candidate_not_significant,False,87.18575,15.25,18.75,30.25,21.25,30.25,15.0,6.0,-0.2096875011920929,-0.005625000223517418,0.12593749910593033,0.2896874938160181,0.06874999403953552,0.10999999940395355,0.20406250096857548,1.6203474137352176,3.2545259822470882,0.12092456868588923,1.0414550200552095,2.395604937558251,0.9096579843066211,native,matched_auto_manual_robust_mad,below_snr
13,350743,352743,87.68575,500.0,0.05624999850988388,0.1519664986744523,False,False,False,no_morphology_candidate,False,,,,,,,,,,,,,,,,,,,,,,,,
14,352743,354743,88.18575,500.0,-0.05718750134110451,0.1519665041975677,False,False,False,no_morphology_candidate,False,,,,,,,,,,,,,,,,,,,,,,,,
15,354743,356743,88.68575,500.0,-0.06968750059604645,0.03938155808150768,False,False,False,no_morphology_candidate,False,,,,,,,,,,,,,,,,,,,,,,,,
16,356743,358744,89.18575,500.25,0.31312501430511475,0.08895595934987068,False,False,False,no_morphology_candidate,False,,,,,,,,,,,,,,,,,,,,,,,,
17,358744,360744,89.686,500.0,-0.008437500335276127,0.05606081288661807,False,False,False,no_morphology_candidate,False,,,,,,,,,,,,,,,,,,,,,,,,
18,360744,362744,90.186,500.0,-0.07406249642372131,0.061157257953286165,False,False,False,no_morphology_candidate,False,,,,,,,,,,,,,,,,,,,,,,,,
